listing_id,housing_program,county,estate,latitude,longitude,price_kes,bedrooms,property_type,schools_2km,hospitals_3km,transit_stops_1km
57,Private affordable,Kajiado,Ongata Rongai — Block 16 Unit 1599,-1.399903,36.757478,4570608,3,apartment,25,12,13
58,Boma Yangu / AHP,Nairobi,Starehe — Block 24 Unit 1440,-1.264384,36.841036,4052974,2,apartment,44,11,24
59,County affordable,Nakuru,Nakuru Pipeline — Block 17 Unit 2030,-0.296185,36.060797,4358345,4,maisonette,23,6,7
60,County affordable,Kisumu,Kisumu Manyatta — Block 12 Unit 2079,-0.123792,34.760996,2584758,2,apartment,16,11,8
61,Boma Yangu / AHP,Machakos,Kangundo Road — Block 12 Unit 371,-1.32759,37.02697,7147157,4,apartment,41,21,14
62,County affordable,Nakuru,Nakuru Pipeline — Block 4 Unit 1574,-0.298427,36.043404,3223976,2,apartment,26,5,2
63,Boma Yangu / AHP,Machakos,Syokimau Phase — Block 18 Unit 530,-1.34496,36.952337,3936446,3,apartment,19,16,27
64,Boma Yangu / AHP,Kiambu,Thika Road corridor — Block 4 Unit 1931,-1.128344,36.948513,3944714,3,apartment,33,12,24
65,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 4 Unit 370,-1.461067,36.980096,5845706,3,apartment,28,6,4
66,Boma Yangu / AHP,Machakos,Athi River Mavoko — Block 6 Unit 380,-1.474167,36.984301,5064215,4,apartment,30,5,24
67,Boma Yangu / AHP,Machakos,Kangundo Road — Block 15 Unit 1808,-1.30534,37.002776,2954337,1,apartment,14,9,11
68,Boma Yangu / AHP,Machakos,Syokimau Phase — Block 4 Unit 1621,-1.379913,36.945887,3420883,2,apartment,44,6,11
69,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 11 Unit 1693,-1.308527,36.886355,3212828,2,apartment,24,13,29
70,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 9 Unit 526,-1.493491,36.939929,1907181,1,apartment,25,8,10
71,County affordable,Uasin Gishu,Eldoret Langas — Block 12 Unit 1744,0.49265,35.260113,3875025,3,apartment,6,12,2
72,Boma Yangu / AHP,Nairobi,Starehe — Block 26 Unit 387,-1.279711,36.8399,3027344,1,apartment,23,15,17
73,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 18 Unit 916,-1.5122,36.973333,3407829,3,apartment,16,11,6
74,Boma Yangu / AHP,Nairobi,Shauri Moyo — Block 19 Unit 2012,-1.277913,36.8565,4662719,3,apartment,39,19,26
75,County affordable,Kisumu,Kisumu Manyatta — Block 14 Unit 1084,-0.125232,34.750594,2416341,2,apartment,21,6,11
76,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 12 Unit 675,-1.504006,36.945525,4879347,4,apartment,20,12,11
77,Boma Yangu / AHP,Machakos,Athi River Mavoko — Block 3 Unit 1597,-1.457398,36.98919,5467717,3,apartment,16,7,24
78,Boma Yangu / AHP,Nairobi,Clay City Kasarani — Block 12 Unit 1896,-1.210256,36.896598,2185809,1,apartment,17,20,24
79,Private affordable,Kiambu,Ruiru Eastern Bypass — Block 2 Unit 1375,-1.116841,36.97965,5188722,3,apartment,28,9,9
80,County affordable,Kisumu,Kisumu Manyatta — Block 8 Unit 990,-0.128549,34.747363,5692653,4,maisonette,10,6,6
81,Boma Yangu / AHP,Machakos,Kangundo Road — Block 22 Unit 1643,-1.307131,37.018262,3695872,4,maisonette,45,17,28
82,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 8 Unit 2181,-1.457818,36.971362,4148279,3,apartment,10,9,10
83,Boma Yangu / AHP,Nairobi,Starehe — Block 3 Unit 126,-1.265017,36.835209,3460604,2,maisonette,24,8,17
84,Coast affordable,Mombasa,Mombasa Likoni — Block 2 Unit 787,-4.095036,39.663455,3887550,3,maisonette,18,7,13
85,Boma Yangu / AHP,Nairobi,Embakasi Pipeline — Block 7 Unit 198,-1.30481,36.881222,6177801,4,maisonette,30,20,20
86,County affordable,Nakuru,Nakuru Pipeline — Block 6 Unit 1679,-0.28569,36.041344,3731719,3,apartment,7,2,8
87,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 10 Unit 739,-1.306051,36.899537,3122197,3,apartment,44,8,17
88,Boma Yangu / AHP,Machakos,Athi River Mavoko — Block 4 Unit 2198,-1.478777,36.963979,1935715,1,apartment,19,9,6
89,County affordable,Uasin Gishu,Eldoret Langas — Block 12 Unit 2184,0.499517,35.242344,2952402,2,apartment,21,10,2
90,Coast affordable,Mombasa,Mombasa Likoni — Block 26 Unit 1333,-4.092053,39.646866,3289730,3,apartment,16,12,11
91,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 20 Unit 1188,-1.432308,36.954867,3702657,2,maisonette,10,2,12
92,Coast affordable,Mombasa,Mombasa Likoni — Block 26 Unit 688,-4.108579,39.66238,2212088,1,apartment,25,5,5
93,Coast affordable,Mombasa,Mombasa Likoni — Block 4 Unit 900,-4.076405,39.643142,4335393,3,apartment,25,9,3
94,Boma Yangu / AHP,Machakos,Syokimau Phase — Block 13 Unit 841,-1.348484,36.93527,1817710,1,apartment,12,14,29
95,Coast affordable,Mombasa,Mombasa Bamburi — Block 21 Unit 1154,-3.981226,39.733852,4817372,3,apartment,19,10,13
96,Boma Yangu / AHP,Kiambu,Ruiru Kamulu — Block 8 Unit 1373,-1.157028,36.986299,4992926,4,apartment,24,8,21
97,Boma Yangu / AHP,Nairobi,Clay City Kasarani — Block 1 Unit 2115,-1.220031,36.914274,2879868,2,maisonette,39,22,21
98,County affordable,Kisumu,Kisumu Manyatta — Block 21 Unit 641,-0.10952,34.751341,3416611,2,apartment,4,2,14
99,Boma Yangu / AHP,Nairobi,Embakasi Pipeline — Block 21 Unit 1555,-1.302085,36.895411,4059919,3,apartment,24,9,26
100,Boma Yangu / AHP,Nairobi,Shauri Moyo — Block 25 Unit 662,-1.27501,36.851982,4047857,3,apartment,11,5,15
101,Coast affordable,Mombasa,Mombasa Likoni — Block 11 Unit 436,-4.109303,39.644576,6885488,4,apartment,22,2,3
102,Boma Yangu / AHP,Nairobi,Starehe — Block 9 Unit 122,-1.26468,36.836422,4311692,3,apartment,35,11,12
103,Coast affordable,Mombasa,Mombasa Likoni — Block 20 Unit 364,-4.08962,39.644465,2942452,2,maisonette,14,3,13
104,Boma Yangu / AHP,Nairobi,Park Road Ngara — Block 10 Unit 674,-1.282123,36.819407,3625887,3,maisonette,8,4,16
105,County affordable,Uasin Gishu,Eldoret Langas — Block 15 Unit 1324,0.479501,35.275392,5296703,4,apartment,9,6,11
106,County affordable,Uasin Gishu,Eldoret Langas — Block 18 Unit 1317,0.50609,35.241419,3782279,3,maisonette,23,6,5
107,County affordable,Uasin Gishu,Eldoret Langas — Block 2 Unit 911,0.483882,35.267098,3572493,2,maisonette,4,9,12
108,County affordable,Kisumu,Kisumu Manyatta — Block 3 Unit 310,-0.125817,34.756171,3239425,3,apartment,5,5,2
109,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 16 Unit 2177,-1.476668,36.946701,4960875,3,apartment,20,7,8
110,County affordable,Nakuru,Nakuru Pipeline — Block 22 Unit 2113,-0.295247,36.049569,2559030,1,apartment,23,4,7
111,Boma Yangu / AHP,Kiambu,Ruiru Kamulu — Block 23 Unit 1884,-1.171702,37.000341,3991818,2,apartment,17,17,23
112,County affordable,Uasin Gishu,Eldoret Langas — Block 24 Unit 1874,0.511249,35.25808,1815498,1,apartment,13,4,6
113,Private affordable,Kiambu,Ruiru Eastern Bypass — Block 2 Unit 388,-1.134599,36.962403,4087038,3,apartment,14,12,13
114,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 4 Unit 1964,-1.515413,36.953123,4544335,3,apartment,18,2,12
115,Private affordable,Kajiado,Ongata Rongai — Block 22 Unit 1960,-1.408092,36.758112,2295096,1,maisonette,17,7,8
116,Private affordable,Kiambu,Ruiru Eastern Bypass — Block 24 Unit 1818,-1.136957,36.947352,3063754,2,maisonette,15,2,5
117,Boma Yangu / AHP,Nairobi,Park Road Ngara — Block 16 Unit 1269,-1.27977,36.815956,5449960,3,apartment,16,9,21
118,Boma Yangu / AHP,Nairobi,Shauri Moyo — Block 25 Unit 1138,-1.275415,36.847448,3042083,2,apartment,14,12,19
119,Boma Yangu / AHP,Nairobi,Clay City Kasarani — Block 17 Unit 1898,-1.214185,36.892664,3892982,2,apartment,19,5,21
120,Boma Yangu / AHP,Nairobi,Shauri Moyo — Block 11 Unit 1865,-1.282465,36.861783,4382852,3,apartment,31,10,17
121,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 2 Unit 372,-1.452257,36.960161,2970199,2,apartment,14,2,7
122,County affordable,Kisumu,Kisumu Manyatta — Block 2 Unit 1314,-0.130963,34.754254,3597605,2,maisonette,24,8,9
123,County affordable,Kisumu,Kisumu Manyatta — Block 17 Unit 2151,-0.106377,34.769882,3565830,3,apartment,4,12,9
124,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 4 Unit 861,-1.482129,36.947603,2929816,2,apartment,5,10,2
125,Coast affordable,Mombasa,Mombasa Bamburi — Block 3 Unit 1204,-3.993585,39.712543,3789378,2,apartment,15,3,10
126,Private affordable,Kiambu,Ruiru Eastern Bypass — Block 17 Unit 2011,-1.154327,36.955839,2472517,1,maisonette,14,11,3
127,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 25 Unit 611,-1.304038,36.906555,4055160,2,apartment,9,9,20
128,County affordable,Uasin Gishu,Eldoret Langas — Block 22 Unit 1450,0.515395,35.266116,3262587,3,apartment,24,5,8
129,Private affordable,Kiambu,Ruiru Eastern Bypass — Block 3 Unit 1324,-1.12221,36.960676,3050470,1,apartment,15,12,14
130,Boma Yangu / AHP,Nairobi,Embakasi Pipeline — Block 2 Unit 1251,-1.312508,36.891555,3497229,3,apartment,21,13,24
131,Private affordable,Kiambu,Ruiru Eastern Bypass — Block 8 Unit 228,-1.139773,36.960366,4701008,3,apartment,20,2,8
132,Private affordable,Kiambu,Ruiru Eastern Bypass — Block 7 Unit 1877,-1.136879,36.97377,4109149,3,maisonette,13,10,6
133,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 6 Unit 1267,-1.30657,36.897454,3177119,2,apartment,37,22,10
134,Private affordable,Kiambu,Ruiru Eastern Bypass — Block 9 Unit 1494,-1.132772,36.951324,3968258,3,apartment,16,11,6
135,County affordable,Uasin Gishu,Eldoret Langas — Block 3 Unit 2095,0.514399,35.269913,4970271,3,apartment,14,11,12
136,Boma Yangu / AHP,Machakos,Athi River Mavoko — Block 3 Unit 323,-1.472603,36.96729,2732019,1,apartment,27,11,10
137,Boma Yangu / AHP,Nairobi,Embakasi Pipeline — Block 1 Unit 2135,-1.308974,36.885703,2200256,1,apartment,33,22,29
138,Boma Yangu / AHP,Nairobi,Park Road Ngara — Block 11 Unit 1272,-1.276243,36.813802,4959147,3,apartment,8,16,27
139,Boma Yangu / AHP,Machakos,Athi River Mavoko — Block 16 Unit 1399,-1.450001,36.990235,3275879,3,apartment,17,19,30
140,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 7 Unit 1436,-1.451971,36.951493,3021719,2,apartment,28,11,13
141,Boma Yangu / AHP,Kiambu,Thika Road corridor — Block 4 Unit 813,-1.111916,36.969624,2034318,1,apartment,30,18,7
142,Boma Yangu / AHP,Nairobi,Clay City Kasarani — Block 11 Unit 2102,-1.228019,36.902031,3894108,3,apartment,45,19,15
143,Boma Yangu / AHP,Kiambu,Ruiru Kamulu — Block 1 Unit 808,-1.156631,36.981311,3726270,2,apartment,16,7,14
144,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 23 Unit 2002,-1.459399,36.949494,3069179,2,apartment,6,2,6
145,Boma Yangu / AHP,Kiambu,Thika Road corridor — Block 19 Unit 192,-1.118862,36.944181,3121385,2,apartment,32,16,20
146,Coast affordable,Mombasa,Mombasa Bamburi — Block 4 Unit 835,-3.972485,39.729421,2655747,2,apartment,9,6,8
147,Boma Yangu / AHP,Nairobi,Park Road Ngara — Block 27 Unit 329,-1.287375,36.820878,5594091,3,apartment,10,20,22
148,Boma Yangu / AHP,Nairobi,Clay City Kasarani — Block 20 Unit 2109,-1.22168,36.915866,5373850,3,maisonette,24,17,12
149,Coast affordable,Mombasa,Mombasa Likoni — Block 13 Unit 776,-4.085655,39.665128,4155953,2,apartment,5,10,4
150,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 16 Unit 130,-1.323367,36.883717,5312724,3,maisonette,30,13,29
151,Coast affordable,Mombasa,Mombasa Bamburi — Block 23 Unit 766,-3.984038,39.727976,3387276,3,apartment,15,9,12
152,Boma Yangu / AHP,Kiambu,Ruiru Kamulu — Block 18 Unit 878,-1.155186,36.997338,4139962,3,maisonette,36,8,21
153,Boma Yangu / AHP,Machakos,Kangundo Road — Block 22 Unit 1960,-1.31167,37.031994,3021731,1,apartment,21,4,22
154,Boma Yangu / AHP,Kiambu,Ruiru Kamulu — Block 5 Unit 1761,-1.173788,36.988783,4551110,3,maisonette,23,12,18
155,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 14 Unit 2015,-1.454646,36.951761,2510247,2,apartment,11,2,14
156,County affordable,Kisumu,Kisumu Manyatta — Block 8 Unit 1563,-0.124756,34.767692,6400114,4,apartment,20,2,11
157,Boma Yangu / AHP,Nairobi,Shauri Moyo — Block 24 Unit 669,-1.276889,36.856269,3662169,3,apartment,34,21,18
158,Private affordable,Kiambu,Ruiru Eastern Bypass — Block 21 Unit 1725,-1.133058,36.968863,6977916,4,apartment,22,12,11
159,Private affordable,Kajiado,Ongata Rongai — Block 20 Unit 2130,-1.388388,36.779614,5330839,4,apartment,6,11,10
160,County affordable,Uasin Gishu,Eldoret Langas — Block 27 Unit 1255,0.507677,35.258089,2652777,2,apartment,13,4,13
161,Boma Yangu / AHP,Kiambu,Thika Road corridor — Block 12 Unit 932,-1.125728,36.937028,4770716,3,apartment,11,21,20
162,County affordable,Kisumu,Kisumu Manyatta — Block 22 Unit 1291,-0.115865,34.751196,5114665,3,apartment,23,11,6
163,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 23 Unit 157,-1.45805,36.983049,3781693,2,apartment,24,11,4
164,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 2 Unit 2127,-1.436559,36.973206,4782832,3,maisonette,10,6,11
165,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 22 Unit 215,-1.455326,36.970168,2448087,2,apartment,4,8,2
166,Coast affordable,Mombasa,Mombasa Likoni — Block 7 Unit 1189,-4.104882,39.650306,5211778,3,maisonette,23,3,12
167,Boma Yangu / AHP,Machakos,Athi River Mavoko — Block 14 Unit 1658,-1.444253,36.972569,5147617,4,maisonette,36,5,28
168,Boma Yangu / AHP,Nairobi,Starehe — Block 21 Unit 1054,-1.270027,36.842571,2893040,1,maisonette,38,6,7
169,Boma Yangu / AHP,Machakos,Athi River Mavoko — Block 25 Unit 2150,-1.480936,36.979415,4562080,3,apartment,8,11,23
170,Boma Yangu / AHP,Nairobi,Park Road Ngara — Block 15 Unit 158,-1.282159,36.836221,4378253,3,apartment,9,4,19
171,Boma Yangu / AHP,Nairobi,Shauri Moyo — Block 26 Unit 1114,-1.275266,36.864595,4574156,3,apartment,11,8,19
172,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 27 Unit 1989,-1.310009,36.887532,5165112,3,apartment,8,15,11
173,County affordable,Uasin Gishu,Eldoret Langas — Block 14 Unit 1414,0.487397,35.243955,3667155,3,apartment,6,10,11
174,County affordable,Nakuru,Nakuru Pipeline — Block 1 Unit 515,-0.282067,36.069357,2366577,1,apartment,6,7,5
175,County affordable,Kisumu,Kisumu Manyatta — Block 9 Unit 784,-0.103141,34.77487,3149887,2,apartment,16,7,5
176,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 27 Unit 1002,-1.473895,36.942734,3161331,3,apartment,7,2,6
177,County affordable,Nakuru,Nakuru Pipeline — Block 9 Unit 954,-0.283158,36.041053,5544821,4,apartment,8,11,2
178,Boma Yangu / AHP,Nairobi,Starehe — Block 4 Unit 1801,-1.276533,36.833237,3891951,2,apartment,35,13,29
179,Boma Yangu / AHP,Machakos,Kangundo Road — Block 22 Unit 556,-1.323649,37.03039,2561786,1,apartment,19,11,19
180,Private affordable,Kajiado,Ongata Rongai — Block 13 Unit 2186,-1.385134,36.762473,4239281,3,apartment,6,5,14
181,Boma Yangu / AHP,Machakos,Kangundo Road — Block 24 Unit 537,-1.304548,37.036945,3998646,2,maisonette,32,17,24
182,Boma Yangu / AHP,Nairobi,Starehe — Block 27 Unit 789,-1.267086,36.837431,2228777,1,apartment,26,17,20
183,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 1 Unit 654,-1.480174,36.966838,6317311,4,apartment,15,5,6
184,County affordable,Kisumu,Kisumu Manyatta — Block 22 Unit 638,-0.124952,34.746307,5354820,3,apartment,18,11,2
185,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 27 Unit 1293,-1.505097,36.93497,4444616,4,apartment,12,6,3
186,Tsavo / affordable corridor,Machakos,Tsavo Road Athi River — Block 2 Unit 1216,-1.429683,36.968376,5410216,3,apartment,24,8,13
187,Boma Yangu / AHP,Nairobi,Starehe — Block 8 Unit 1469,-1.274346,36.845801,6482306,4,apartment,23,16,6
188,Boma Yangu / AHP,Machakos,Syokimau Phase — Block 27 Unit 2195,-1.345601,36.958264,3881022,2,apartment,20,19,17
189,Boma Yangu / AHP,Nairobi,Clay City Kasarani — Block 12 Unit 1498,-1.205355,36.897965,7117573,4,apartment,12,22,16
190,Boma Yangu / AHP,Machakos,Athi River Mavoko — Block 14 Unit 589,-1.46553,36.986839,3682556,3,apartment,35,19,9
191,County affordable,Kisumu,Kisumu Manyatta — Block 11 Unit 300,-0.119339,34.767386,3826048,2,maisonette,25,8,11
192,Boma Yangu / AHP,Nairobi,Embakasi Pipeline — Block 9 Unit 1362,-1.317821,36.902914,2608311,2,apartment,29,5,24
193,Boma Yangu / AHP,Nairobi,Embakasi Pipeline — Block 4 Unit 1663,-1.298022,36.897357,5064697,4,maisonette,40,20,29
194,Boma Yangu / AHP,Machakos,Syokimau Phase — Block 10 Unit 1044,-1.373049,36.932957,4314479,4,apartment,29,12,25
195,Boma Yangu / AHP,Kiambu,Thika Road corridor — Block 18 Unit 514,-1.102731,36.946697,3144307,2,apartment,28,12,6
196,Boma Yangu / AHP,Nairobi,Mukuru kwa Reuben — Block 6 Unit 1464,-1.312887,36.89636,3804270,2,apartment,21,6,6
197,Boma Yangu / AHP,Machakos,Athi River Mavoko — Block 16 Unit 783,-1.475226,37.001653,5318842,4,maisonette,17,19,16
198,Boma Yangu / AHP,Nairobi,Shauri Moyo — Block 2 Unit 946,-1.281201,36.852137,4106985,2,apartment,17,16,14
199,Boma Yangu / AHP,Machakos,Athi River Mavoko — Block 13 Unit 669,-1.472852,36.985942,3527799,2,apartment,29,5,18
200,Boma Yangu / AHP,Kiambu,Thika Road corridor — Block 11 Unit 1956,-1.108161,36.968239,3641563,3,apartment,34,18,23
201,Boma Yangu / AHP,Machakos,Syokimau Phase — Block 15 Unit 2162,-1.366525,36.939381,6893096,4,apartment,31,22,16
202,Boma Yangu / AHP,Machakos,Kangundo Road — Block 10 Unit 1409,-1.317812,36.997026,5792234,4,apartment,27,22,25
203,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 24 Unit 244,-1.488015,36.959463,5817269,3,maisonette,21,11,11
204,County affordable,Kisumu,Kisumu Manyatta — Block 12 Unit 516,-0.123745,34.751869,2684702,2,apartment,17,10,3
205,Tsavo / affordable corridor,Kajiado,Kitengela South — Block 7 Unit 771,-1.487991,36.937623,5641670,3,apartment,8,10,14
206,Boma Yangu / AHP,Kiambu,Ruiru Kamulu — Block 18 Unit 885,-1.17288,36.973883,5045181,3,apartment,31,15,25
207,County affordable,Uasin Gishu,Eldoret Langas — Block 11 Unit 1877,0.493583,35.264039,5678318,3,apartment,18,3,5
208,Boma Yangu / AHP,Kiambu,Thika Road corridor — Block 19 Unit 2173,-1.111857,36.962803,1866684,1,apartment,41,4,10
209,Boma Yangu / AHP,Kiambu,Ruiru Kamulu — Block 14 Unit 1179,-1.15353,36.989038,3745503,3,apartment,40,10,21
