listing_id,housing_program,county,estate,latitude,longitude,price_kes,bedrooms,property_type,schools_2km,hospitals_3km,transit_stops_1km,source,source_url,price_estimated
12,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 12,-1.272635,36.857734,2365880,1,apartment,27,7,20,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
13,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 13,-1.277871,36.845133,3334265,2,apartment,14,5,13,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
14,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 14,-1.280215,36.855343,3805913,3,apartment,28,12,17,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
15,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 15,-1.2781,36.849072,3485727,2,apartment,24,4,11,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
16,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 16,-1.286371,36.851582,4188264,2,apartment,31,4,9,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
17,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 17,-1.284768,36.848824,3751587,3,apartment,19,13,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
18,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 18,-1.272707,36.857721,3254698,2,apartment,18,9,21,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
19,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 19,-1.290976,36.843939,2867156,2,apartment,28,14,18,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
20,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 20,-1.28765,36.853803,4100882,2,apartment,12,10,18,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
21,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 21,-1.282376,36.849014,3313850,2,apartment,26,12,17,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
22,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 22,-1.289417,36.84461,3142310,2,apartment,33,9,23,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
23,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 23,-1.28514,36.865038,3719531,2,apartment,15,14,10,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
24,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 24,-1.280736,36.848311,3806059,3,apartment,10,10,23,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
25,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 25,-1.286664,36.849121,2346931,1,apartment,29,12,15,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
26,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 26,-1.270962,36.859982,3388419,2,apartment,27,13,13,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
27,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 27,-1.277503,36.857374,3603694,2,apartment,24,5,20,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
28,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 28,-1.290522,36.853633,2901160,2,apartment,16,13,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
29,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 29,-1.277417,36.845872,3868847,3,apartment,16,16,24,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
30,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 30,-1.283196,36.85596,4366357,3,apartment,8,6,24,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
31,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 31,-1.272735,36.843763,3371685,2,apartment,15,10,18,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
32,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 32,-1.269013,36.855499,3467591,2,apartment,20,15,10,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
33,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 33,-1.279025,36.852311,6061020,4,apartment,15,4,12,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
34,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 34,-1.270013,36.845144,4385666,3,apartment,22,8,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
35,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 35,-1.284771,36.857604,5347824,3,apartment,27,14,23,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
36,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 36,-1.288935,36.863762,6135403,3,apartment,14,7,5,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
37,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 37,-1.282619,36.861693,2465822,1,apartment,20,15,24,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
38,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 38,-1.268651,36.84876,3594975,2,apartment,21,16,10,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
39,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 39,-1.28757,36.842855,7995339,4,apartment,16,10,24,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
40,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 40,-1.270121,36.859744,7706056,4,apartment,32,7,22,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
41,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 41,-1.283939,36.860306,2422630,1,apartment,17,13,13,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
42,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 42,-1.289254,36.859701,3207986,2,apartment,15,4,23,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
43,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 43,-1.288575,36.861724,5771105,4,apartment,32,6,19,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
44,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 44,-1.277136,36.862767,2671655,2,apartment,13,7,11,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
45,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 45,-1.268197,36.853795,7487695,4,apartment,19,6,23,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
46,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 46,-1.286009,36.844941,1821553,1,apartment,26,17,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
47,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 47,-1.274859,36.855724,3410127,2,apartment,19,6,22,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
48,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 48,-1.274351,36.859513,5747479,3,apartment,11,10,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
49,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 49,-1.281979,36.849,4084100,2,apartment,11,10,15,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
50,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 50,-1.268586,36.848652,6096739,3,apartment,32,10,5,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
51,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 51,-1.276305,36.844319,5043514,3,apartment,27,5,19,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
52,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 52,-1.268331,36.856083,2890349,2,apartment,33,14,21,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
53,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 53,-1.272687,36.842206,3347810,2,apartment,25,5,10,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
54,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 54,-1.272397,36.847361,4469034,3,apartment,22,14,17,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
55,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 55,-1.277046,36.851679,7776764,4,apartment,11,9,23,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
56,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 56,-1.275875,36.862597,3038522,2,apartment,20,11,9,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
57,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 57,-1.273617,36.861375,2978659,2,apartment,33,5,22,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
58,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 58,-1.277254,36.845286,2030761,1,apartment,30,8,11,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
59,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 59,-1.269418,36.84575,5460390,4,apartment,12,7,16,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
60,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 60,-1.288749,36.842285,3734457,2,apartment,9,6,8,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
61,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 61,-1.277333,36.858115,3738793,3,apartment,29,9,21,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
62,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 62,-1.279412,36.862778,3868241,2,apartment,30,11,5,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
63,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 63,-1.285839,36.847763,2890397,2,apartment,25,11,23,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
64,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 64,-1.290339,36.850744,4081307,2,apartment,22,16,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
65,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 65,-1.290274,36.863974,2800150,1,apartment,26,5,21,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
66,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 66,-1.269857,36.865287,4433810,3,apartment,29,12,20,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
67,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 67,-1.272825,36.845007,5270456,3,apartment,30,11,11,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
68,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 68,-1.270939,36.852885,3854620,2,apartment,18,13,17,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
69,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 69,-1.288166,36.853247,3026341,2,apartment,12,9,17,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
70,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 70,-1.282701,36.850571,3779111,2,apartment,16,10,12,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
71,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 71,-1.284396,36.86455,3697189,2,apartment,26,16,22,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
72,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 72,-1.28364,36.854628,4136788,2,apartment,30,10,18,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
73,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 73,-1.278736,36.856968,3887026,2,apartment,9,8,8,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
74,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 74,-1.286663,36.858453,4908592,3,apartment,31,16,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
75,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 75,-1.289239,36.859195,6966015,4,apartment,23,5,15,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
76,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 76,-1.288223,36.864791,5542065,4,apartment,29,9,16,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
77,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 77,-1.272438,36.864482,3852198,2,apartment,10,7,19,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
78,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 78,-1.28924,36.856566,4036070,3,apartment,12,5,16,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
79,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 79,-1.280337,36.854321,2486916,1,apartment,27,14,23,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
80,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 80,-1.279709,36.856168,3961752,3,apartment,33,15,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
81,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 81,-1.289416,36.857566,3904469,3,apartment,27,9,23,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
82,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 82,-1.275411,36.849785,5519401,3,apartment,32,15,20,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
83,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 83,-1.28278,36.849324,4303390,3,apartment,16,6,24,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
84,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 84,-1.269054,36.852287,3779986,2,apartment,18,5,19,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
85,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 85,-1.269054,36.860505,3484788,2,apartment,24,10,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
86,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 86,-1.267842,36.859004,3954138,2,apartment,33,9,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
87,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 87,-1.276231,36.844704,3960853,2,apartment,20,12,5,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
88,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 88,-1.291226,36.852681,5478722,3,apartment,30,10,10,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
89,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 89,-1.280905,36.849024,6467353,4,apartment,21,16,19,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
90,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 90,-1.288867,36.865706,3714844,3,apartment,31,13,10,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
91,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 91,-1.288967,36.865756,5775931,3,apartment,8,13,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
92,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 92,-1.28935,36.863306,5844953,3,apartment,8,7,9,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
93,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 93,-1.272878,36.846534,2623316,2,apartment,32,8,18,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
94,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 94,-1.291391,36.843017,5115720,4,apartment,30,12,24,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
95,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 95,-1.285796,36.862163,4236695,3,apartment,9,13,21,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
96,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 96,-1.27299,36.858532,7968945,4,apartment,30,15,13,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
97,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 97,-1.286678,36.844776,2636848,1,apartment,21,11,19,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
98,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 98,-1.271094,36.845503,3608018,2,apartment,29,14,6,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
99,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 99,-1.285023,36.858815,3436085,2,apartment,34,14,17,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
100,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 100,-1.276729,36.842794,2687200,2,apartment,13,16,14,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
101,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 101,-1.287366,36.843979,5602658,3,apartment,12,9,24,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
102,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 102,-1.272703,36.857051,4792257,3,apartment,31,12,13,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
103,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 103,-1.268816,36.84901,3269389,2,apartment,23,11,18,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
104,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 104,-1.268947,36.84534,3638773,2,apartment,20,11,18,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
105,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 105,-1.280141,36.844639,4157449,2,apartment,11,17,10,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
106,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 106,-1.281251,36.856441,2165645,1,apartment,18,12,24,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
107,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 107,-1.28171,36.847001,4118628,2,apartment,23,12,11,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
108,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 108,-1.281479,36.853157,5115391,4,apartment,11,7,6,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
109,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 109,-1.277942,36.858626,5022292,3,apartment,25,12,18,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
110,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 110,-1.272623,36.854957,4422156,3,apartment,13,10,15,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
111,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 111,-1.282865,36.854083,5701581,3,apartment,27,11,22,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
112,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 112,-1.279434,36.854264,2905268,1,apartment,15,15,9,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
113,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 113,-1.271424,36.853637,2666664,2,apartment,11,4,6,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
114,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 114,-1.290187,36.848512,7694378,4,apartment,23,8,14,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
115,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 115,-1.283987,36.859602,4044461,2,apartment,8,10,21,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
116,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 116,-1.282587,36.845464,5827024,3,apartment,14,12,18,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
117,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 117,-1.282763,36.86478,1891932,1,apartment,34,10,20,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
118,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 118,-1.275017,36.858707,3097538,2,apartment,28,9,23,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
119,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 119,-1.291263,36.846795,5566968,3,apartment,22,10,8,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
120,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 120,-1.27145,36.865517,4031357,3,apartment,33,11,9,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
121,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 121,-1.267753,36.845176,4907545,3,apartment,20,15,12,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
122,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 122,-1.273393,36.852188,2728078,2,apartment,20,10,23,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
123,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 123,-1.287179,36.863548,4105155,2,apartment,9,12,9,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
124,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 124,-1.279756,36.855852,3067294,2,apartment,27,10,5,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
125,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 125,-1.285673,36.862024,2824945,1,apartment,25,11,17,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
126,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 126,-1.273211,36.843172,3672325,2,apartment,27,9,19,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
127,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 127,-1.283398,36.862045,3129771,2,apartment,21,11,20,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
128,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 128,-1.279406,36.863607,5815240,3,apartment,16,12,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
129,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 129,-1.283347,36.853749,5804738,3,apartment,22,11,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
130,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 130,-1.269505,36.856918,2278263,1,apartment,18,6,5,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
131,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 131,-1.286922,36.842373,3572736,2,apartment,33,13,13,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
132,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 132,-1.277157,36.841953,3092056,2,apartment,19,7,8,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
133,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 133,-1.27631,36.865341,5687182,3,apartment,24,16,14,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
134,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 134,-1.269841,36.859074,7436584,4,apartment,15,17,17,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
135,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 135,-1.270718,36.844516,4918502,3,apartment,27,15,13,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
136,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 136,-1.275822,36.865053,5038069,3,apartment,10,17,8,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
137,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 137,-1.273911,36.859777,3619213,2,apartment,17,4,7,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
138,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 138,-1.272865,36.85353,2665515,2,apartment,31,17,22,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
139,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 139,-1.268051,36.851655,2718448,2,apartment,29,13,6,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
140,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 140,-1.272271,36.86397,3488738,2,apartment,20,15,9,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
141,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 141,-1.282576,36.842946,2242773,1,apartment,10,17,18,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
142,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 142,-1.272952,36.862549,5454471,3,apartment,27,14,12,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
143,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 143,-1.290346,36.847406,3864940,3,apartment,24,7,22,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
144,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 144,-1.27917,36.858032,2607200,2,apartment,22,4,20,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
145,Boma Yangu / AHP,Nairobi,Shauri Moyo - Unit 145,-1.270026,36.857896,3007440,2,apartment,14,9,22,boma_yangu_public,https://legacy.bomayangu.go.ke/Ahp,True
