country,indicator_code,indicator_name,year,value
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2024,
KE,EG.ELC.ACCS.ZS,Access to electricity (% of population),2025,
KE,EN.POP.DNST,Population density (people per sq. km of land area),1960,
KE,EN.POP.DNST,Population density (people per sq. km of land area),1961,14.0348069016411
KE,EN.POP.DNST,Population density (people per sq. km of land area),1962,14.582190673648
KE,EN.POP.DNST,Population density (people per sq. km of land area),1963,15.159663703131
KE,EN.POP.DNST,Population density (people per sq. km of land area),1964,15.7668324138173
KE,EN.POP.DNST,Population density (people per sq. km of land area),1965,16.4073479284535
KE,EN.POP.DNST,Population density (people per sq. km of land area),1966,17.0745616192852
KE,EN.POP.DNST,Population density (people per sq. km of land area),1967,17.7655005798222
KE,EN.POP.DNST,Population density (people per sq. km of land area),1968,18.4819605018097
KE,EN.POP.DNST,Population density (people per sq. km of land area),1969,19.2214481498401
KE,EN.POP.DNST,Population density (people per sq. km of land area),1970,19.9753856696068
KE,EN.POP.DNST,Population density (people per sq. km of land area),1971,20.7135397266051
KE,EN.POP.DNST,Population density (people per sq. km of land area),1972,21.4464982253927
KE,EN.POP.DNST,Population density (people per sq. km of land area),1973,22.1998717363039
KE,EN.POP.DNST,Population density (people per sq. km of land area),1974,22.9646097620972
KE,EN.POP.DNST,Population density (people per sq. km of land area),1975,23.7405049724145
KE,EN.POP.DNST,Population density (people per sq. km of land area),1976,24.5240591067224
KE,EN.POP.DNST,Population density (people per sq. km of land area),1977,25.3519678813649
KE,EN.POP.DNST,Population density (people per sq. km of land area),1978,26.239810942826
KE,EN.POP.DNST,Population density (people per sq. km of land area),1979,27.1649611694838
KE,EN.POP.DNST,Population density (people per sq. km of land area),1980,28.145024071406
KE,EN.POP.DNST,Population density (people per sq. km of land area),1981,29.169460941069
KE,EN.POP.DNST,Population density (people per sq. km of land area),1982,30.2318849492216
KE,EN.POP.DNST,Population density (people per sq. km of land area),1983,31.3567382366377
KE,EN.POP.DNST,Population density (people per sq. km of land area),1984,32.5313736514742
KE,EN.POP.DNST,Population density (people per sq. km of land area),1985,33.7382155532909
KE,EN.POP.DNST,Population density (people per sq. km of land area),1986,34.9679270478265
KE,EN.POP.DNST,Population density (people per sq. km of land area),1987,36.2232420845486
KE,EN.POP.DNST,Population density (people per sq. km of land area),1988,37.5236655304494
KE,EN.POP.DNST,Population density (people per sq. km of land area),1989,38.8629054362723
KE,EN.POP.DNST,Population density (people per sq. km of land area),1990,40.223233299364
KE,EN.POP.DNST,Population density (people per sq. km of land area),1991,41.5477984327231
KE,EN.POP.DNST,Population density (people per sq. km of land area),1992,42.8408827353551
KE,EN.POP.DNST,Population density (people per sq. km of land area),1993,44.1318269670028
KE,EN.POP.DNST,Population density (people per sq. km of land area),1994,45.4319323892188
KE,EN.POP.DNST,Population density (people per sq. km of land area),1995,46.7402589872439
KE,EN.POP.DNST,Population density (people per sq. km of land area),1996,48.044788628457
KE,EN.POP.DNST,Population density (people per sq. km of land area),1997,49.3758442562463
KE,EN.POP.DNST,Population density (people per sq. km of land area),1998,50.7573830691921
KE,EN.POP.DNST,Population density (people per sq. km of land area),1999,52.2426959974699
KE,EN.POP.DNST,Population density (people per sq. km of land area),2000,53.8406894612925
KE,EN.POP.DNST,Population density (people per sq. km of land area),2001,55.55604947816
KE,EN.POP.DNST,Population density (people per sq. km of land area),2002,57.3317777699687
KE,EN.POP.DNST,Population density (people per sq. km of land area),2003,59.1281986857364
KE,EN.POP.DNST,Population density (people per sq. km of land area),2004,60.992822504129
KE,EN.POP.DNST,Population density (people per sq. km of land area),2005,62.8957444565485
KE,EN.POP.DNST,Population density (people per sq. km of land area),2006,64.8417050286397
KE,EN.POP.DNST,Population density (people per sq. km of land area),2007,66.8312699862951
KE,EN.POP.DNST,Population density (people per sq. km of land area),2008,68.8870067118811
KE,EN.POP.DNST,Population density (people per sq. km of land area),2009,70.9999139051903
KE,EN.POP.DNST,Population density (people per sq. km of land area),2010,73.0902185753945
KE,EN.POP.DNST,Population density (people per sq. km of land area),2011,75.1281951716625
KE,EN.POP.DNST,Population density (people per sq. km of land area),2012,77.1133692940226
KE,EN.POP.DNST,Population density (people per sq. km of land area),2013,79.043453280388
KE,EN.POP.DNST,Population density (people per sq. km of land area),2014,80.9140808939804
KE,EN.POP.DNST,Population density (people per sq. km of land area),2015,82.4529008736797
KE,EN.POP.DNST,Population density (people per sq. km of land area),2016,84.0057771361452
KE,EN.POP.DNST,Population density (people per sq. km of land area),2017,85.5601194522199
KE,EN.POP.DNST,Population density (people per sq. km of land area),2018,87.019449386981
KE,EN.POP.DNST,Population density (people per sq. km of land area),2019,88.4453894988127
KE,EN.POP.DNST,Population density (people per sq. km of land area),2020,89.8940686683206
KE,EN.POP.DNST,Population density (people per sq. km of land area),2021,91.6187594501618
KE,EN.POP.DNST,Population density (people per sq. km of land area),2022,93.3976149483117
KE,EN.POP.DNST,Population density (people per sq. km of land area),2023,95.2681371231706
KE,EN.POP.DNST,Population density (people per sq. km of land area),2024,
KE,EN.POP.DNST,Population density (people per sq. km of land area),2025,
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1960,1.24378109452731
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1961,2.45700245700254
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1962,3.11750599520378
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1963,0.697674418604589
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1964,-0.0993048669314341
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1965,3.57852882806742
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1966,5.01439539323414
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1967,1.75919579598299
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1968,0.366711570051019
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1969,-0.17150100656233
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1970,2.18852703907439
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1971,3.78020612544907
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1972,5.83164474311005
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1973,9.28119422332106
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1974,17.8099480331818
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1975,19.1201840136051
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1976,11.4490304932756
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1977,14.8209644818935
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1978,16.9317824582842
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1979,7.97935261848786
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1980,13.8581814562484
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1981,11.6030534351142
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1982,20.6667146662827
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1983,11.3977827368523
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1984,10.284098213138
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1985,13.0065664218827
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1986,2.53427598892888
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1987,8.63767318980084
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1988,12.2649630481582
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1989,13.7893172763883
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1990,17.78181442992
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1991,20.0844955754632
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1992,27.3323644475784
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1993,45.9788813036218
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1994,28.8143894306731
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1995,1.55432816055009
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1996,8.86408741577522
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1997,11.3618450505783
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1998,6.72243650753928
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",1999,5.74200109520484
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2000,9.98002515350979
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2001,5.73859814341467
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2002,1.96130821739162
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2003,9.81569062979654
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2004,11.6240355442426
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2005,10.3127783574683
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2006,14.4537342081708
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2007,9.75888023027529
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2008,26.2398166445063
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2009,9.23412592394652
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2010,3.96138889115385
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2011,14.0224913014704
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2012,9.37777003547598
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2013,5.71749357037733
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2014,6.87815499275949
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2015,6.58215429284779
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2016,6.29724953814625
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2017,8.00564967709945
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2018,4.6898064677633
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2019,5.23963795764792
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2020,5.40516207933392
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2021,6.10793603659176
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2022,7.65986268272224
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2023,7.67139634029402
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2024,4.48978854243448
KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2025,
KE,IS.AIR.PSGR,"Air transport, passengers carried",1960,
KE,IS.AIR.PSGR,"Air transport, passengers carried",1961,
KE,IS.AIR.PSGR,"Air transport, passengers carried",1962,
KE,IS.AIR.PSGR,"Air transport, passengers carried",1963,
KE,IS.AIR.PSGR,"Air transport, passengers carried",1964,
KE,IS.AIR.PSGR,"Air transport, passengers carried",1965,
KE,IS.AIR.PSGR,"Air transport, passengers carried",1966,
KE,IS.AIR.PSGR,"Air transport, passengers carried",1967,
KE,IS.AIR.PSGR,"Air transport, passengers carried",1968,
KE,IS.AIR.PSGR,"Air transport, passengers carried",1969,
KE,IS.AIR.PSGR,"Air transport, passengers carried",1970,171500.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1971,188000.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1972,216800.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1973,340800.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1974,382800.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1975,361500.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1976,449600.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1977,237300.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1978,363300.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1979,377400.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1980,392500.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1981,408700.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1982,391300.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1983,435500.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1984,479200.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1985,558700.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1986,611300.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1987,655800.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1988,720900.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1989,760500.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1990,794400.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1991,759900.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1992,721400.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1993,769500.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1994,753500.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1995,740400.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1996,778600.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1997,835700.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1998,1138400.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",1999,1357800.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2000,1554949.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2001,1418183.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2002,1599843.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2003,1678160.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2004,2005473.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2005,2424382.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2006,2685148.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2007,2857464.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2008,2880546.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2009,2948920.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2010,4039583.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2011,4508698.01161552
KE,IS.AIR.PSGR,"Air transport, passengers carried",2012,4653459.73514364
KE,IS.AIR.PSGR,"Air transport, passengers carried",2013,4516500.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2014,4448530.52817802
KE,IS.AIR.PSGR,"Air transport, passengers carried",2015,4569473.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2016,4848016.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2017,5109576.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2018,5905365.1234425
KE,IS.AIR.PSGR,"Air transport, passengers carried",2019,6417534.056
KE,IS.AIR.PSGR,"Air transport, passengers carried",2020,1865768.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2021,2459106.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2022,3728989.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2023,5138290.0
KE,IS.AIR.PSGR,"Air transport, passengers carried",2024,
KE,IS.AIR.PSGR,"Air transport, passengers carried",2025,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1960,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1961,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1962,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1963,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1964,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1965,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1966,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1967,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1968,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1969,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1970,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1971,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1972,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1973,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1974,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1975,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1976,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1977,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1978,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1979,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1980,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1981,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1982,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1983,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1984,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1985,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1986,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1987,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1988,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1989,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1990,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1991,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1992,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1993,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1994,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1995,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1996,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1997,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1998,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),1999,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2000,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2001,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2002,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2003,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2004,11.0
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2005,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2006,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2007,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2008,11.0
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2009,11.0
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2010,10.6737081516963
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2011,
KE,IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),2012,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1960,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1961,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1962,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1963,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1964,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1965,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1966,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1967,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1968,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1969,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1970,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1971,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1972,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1973,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1974,
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1975,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1976,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1977,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1978,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1979,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1980,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1981,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1982,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1983,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1984,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1985,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1986,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1987,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1988,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1989,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1990,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1991,0.0
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1992,0.004461439
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1993,0.004576275
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1994,0.007614676
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1995,0.008478944
KE,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),1996,0.010233296
